,date,south_gas_avg_price,south_gas_pct_variation,south_diesel_avg_price,south_diesel_pct_variation,south_ethanol_avg_price,south_ethanol_pct_variation,southeast_gas_avg_price,southeast_gas_pct_variation,southeast_diesel_avg_price,southeast_diesel_pct_variation,southeast_ethanol_avg_price,southeast_ethanol_pct_variation
1,2020-10-01,3.9118932055833713,0.023773521308620094,2.9618748631162153,0.004314365307309664,2.933379881636634,0.04940025901003908,4.062534376809927,-0.006561514949613545,3.0636688709877804,0.007006407475695697,2.8819348449604942,0.07210126106274228
2,2020-11-01,3.8997352739400224,-0.0031079405813011496,3.067317073399227,0.03559981942386159,3.090858176265945,0.05368493034780353,4.181941010492186,0.02939215342124002,3.176839216838355,0.03693948354610743,3.0209774201846,0.0482462590947339
3,2020-12-01,4.198466977768613,0.0766030724764486,3.153697417042029,0.02816153060664006,3.1007219145331297,0.0031912620070784214,4.282224515012833,0.023980133691279493,3.2922435919933015,0.036326791278344484,3.026432440115861,0.0018057135729692142
4,2021-01-01,4.116077916534165,-0.01962360587107359,3.2407826163792595,0.02761368255135621,3.135404560852534,0.011185345630914556,4.3005334020061055,0.004275555130069497,3.3516657323391676,0.018049132357757625,3.0802117457837968,0.017769868230026242
5,2021-02-01,4.659214906402516,0.13195498260287697,3.4839505553652237,0.07503370875817694,3.304424673519365,0.05390695503130649,4.607541010348841,0.07138826272097387,3.5881918958010703,0.07056973527513088,3.33261014947969,0.08194190027402404
6,2021-03-01,4.942763650935164,0.06085762306070186,3.722846448938148,0.06857040298836292,3.871780835946312,0.17169589822203024,5.2603934540827035,0.14169216123470463,3.808307970415698,0.06134456601170335,3.8850299176045624,0.16576189333490454
7,2021-04-01,4.919025462255448,-0.0048026145606263615,3.674085158933947,-0.013097851515769365,3.6638221000404108,-0.05371139140293657,5.283071703406494,0.004311131766425058,3.7780415650915384,-0.007947467893689275,3.5598768850394786,-0.08369382976735662
8,2021-05-01,5.081638403463874,0.03305795882867124,3.9796694874570306,0.08317290299600733,4.118719089690045,0.12415913688730051,5.451578574230955,0.03189562441785698,4.074805908857745,0.07854978264618873,4.103040087909196,0.1525792100149257
9,2021-06-01,5.148488354159995,0.013155196294674099,3.981693487442458,0.0005085849445052304,4.199882209791379,0.019705913011766274,5.478073949279394,0.004860128986066581,4.104987958169636,0.007406990660900226,4.166870955845627,0.015556969117734631
10,2021-07-01,5.218600041110027,0.013617916974286493,4.0596803411563895,0.01958635288223176,4.197837625750734,-0.00048681937695260746,5.611360356780808,0.024330888691078467,4.19026097511497,0.020773024869811474,4.140303555412917,-0.006375863499069823
11,2021-08-01,5.38784084392654,0.03243030726311691,4.086883246620217,0.006700750595570071,4.387621455578665,0.04520990251355661,5.725562367102157,0.020351929489494713,4.207917459802758,0.004213695708368936,4.333579106807042,0.04668149298894808
12,2021-09-01,5.50913419856395,0.022512423464426945,4.195172404761199,0.026496758435792245,4.611639333839915,0.05105679250802764,5.960230981281937,0.040986124878865215,4.3137474192538185,0.025150198515543565,4.505937893797648,0.03977284889524002
13,2021-10-01,5.738237745586967,0.04158612565341713,4.505146606264993,0.07388831056192036,4.833054914537168,0.04801233675680572,5.983163966079758,0.003847667123949128,4.611701894263278,0.06907091353554451,4.701357424887227,0.04336933524063258
14,2021-11-01,6.1057360421118005,0.0640437557344955,4.774531938439925,0.059795020166561796,5.2700778845252865,0.09042375427467464,6.442759811129088,0.07681485041274283,4.840258446238202,0.049560131425502085,5.102501514307518,0.08532516317452976
15,2021-12-01,5.9555944664359295,-0.02459024999448578,4.726387385484309,-0.010083617321313243,4.9295381868851305,-0.0646175834782432,6.315454170054284,-0.01975948891574364,4.811731942200073,-0.005893591087124728,4.793080886273758,-0.06064096740905178
