,date,SP_gas_avg_price,SP_gas_pct_variation,SP_diesel_avg_price,SP_diesel_pct_variation,SP_ethanol_avg_price,SP_ethanol_pct_variation,RJ_gas_avg_price,RJ_gas_pct_variation,RJ_diesel_avg_price,RJ_diesel_pct_variation,RJ_ethanol_avg_price,RJ_ethanol_pct_variation,MG_gas_avg_price,MG_gas_pct_variation,MG_diesel_avg_price,MG_diesel_pct_variation,MG_ethanol_avg_price,MG_ethanol_pct_variation,ES_gas_avg_price,ES_gas_pct_variation,ES_diesel_avg_price,ES_diesel_pct_variation,ES_ethanol_avg_price,ES_ethanol_pct_variation
1,2020-10-01,3.686506474603736,0.029724922269656062,2.9598855769758723,0.006373729867587441,2.484873433610928,0.07074083440308554,4.3999540877152015,0.01992414888202121,3.075326145466956,0.005685610401287233,3.327008991131152,0.10639237045738481,4.20865936240164,-0.08448008278999153,3.19398721835097,0.008370441251037697,2.573670243690502,0.06528402932435617,3.9550175825191296,0.022930041305912363,3.025476543157323,0.007532296320649001,3.1421867114093955,0.044352501616443885
2,2020-11-01,3.6669065146547473,-0.005316675851246289,3.0848158793677856,0.04220781484382763,2.6399022020028444,0.0623889998963183,4.38984313118177,-0.0022979686450959047,3.1938470140479653,0.03853928428232223,3.453333505683253,0.037969393797505635,4.716792230321503,0.12073509024258522,3.3059646563094014,0.035058824692556056,2.7218055320757872,0.05755799086866209,3.954222165810722,-0.00020111584634241453,3.122729317628268,0.0321446136116641,3.268868440976515,0.04031642330709806
3,2020-12-01,3.779282484221024,0.030645987051256318,3.207857212300296,0.03988611889463156,2.6453999350441224,0.0020825517843452435,4.47487480662998,0.01937009430797576,3.288983713866673,0.029787494329018838,3.366830331397739,-0.025049180492747958,4.80516776629404,0.01873636396456524,3.429842182852916,0.037470916788870046,2.7908327130822617,0.02536080560973475,4.069573002906286,0.02917156200602955,3.24229125895332,0.03828764172741672,3.3026667809393206,0.010339461673994021
4,2021-01-01,3.8808402532448554,0.026872235522972243,3.284113091081868,0.023771593850616002,2.7141112015075763,0.025973867146975582,4.6362552473016585,0.03606367723015991,3.339045493531493,0.015221048208221566,3.396599618824716,0.008841932766662008,4.428215506508774,-0.07844726305487304,3.479378811678321,0.014442830364923775,2.8184107154645925,0.009881639359126337,4.256822600969134,0.046012099532094286,3.304125533064989,0.019071165781580746,3.3917254473383025,0.02696568328145177
5,2021-02-01,4.192138053347192,0.08021402062145033,3.53615440306455,0.07674562507214189,2.9057107695269258,0.07059385330745616,4.940971558988517,0.06572466256343557,3.567525228091997,0.06842666115305174,3.766083438901196,0.10878050448711041,4.73653298409006,0.06962567136312758,3.7254370766385736,0.07071902149152987,3.0084424617608647,0.06742514327438864,4.560521444969594,0.07134402169621046,3.52365087540916,0.06643977056783745,3.650203927729772,0.07620855060491816
6,2021-03-01,4.694818350050615,0.11991024396299643,3.769322068623978,0.06593820262977124,3.3248897271665974,0.14426038614569947,5.50710337961685,0.11457904864852675,3.790545000414632,0.06251385990672076,4.402029433127994,0.16886136607008995,5.73685910811695,0.21119374179108852,3.932255646690369,0.05551524983436451,3.542754356970009,0.1776041596276392,5.1027929785464,0.11890559887070573,3.7411091659338136,0.06171391497445167,4.2704461531536495,0.16991988330077623
7,2021-04-01,4.7295901483735,0.007406420383125223,3.732261212580338,-0.00983223385237797,3.0784336502283725,-0.07412458672674527,5.964989011279243,0.08314454988390829,3.759038967261153,-0.008311742282450907,3.727436414290173,-0.15324591284217481,5.395395038744034,-0.05952108339034956,3.924881148591069,-0.0018753862316929215,3.3323956792321825,-0.05937715589114079,5.042312615229196,-0.01185240388381048,3.6959849319335936,-0.012061726081429858,4.101241796407186,-0.03962217311217209
8,2021-05-01,4.894407630761599,0.034848153268582704,4.041298140020501,0.08280152696667953,3.6357733525767504,0.18104652094971474,5.737795619383928,-0.03808781398686789,4.057144793829735,0.07930373405673508,4.437686162850274,0.19054644254618514,5.961160546060747,0.10486081246210555,4.2167497659797535,0.07436368295979046,3.800344806797996,0.14042423907884594,5.212950500717546,0.033841195203362595,3.9840309356009898,0.07793484253105487,4.538356029411763,0.10658094662633699
9,2021-06-01,4.931356195137668,0.00754913917342015,4.063537032306442,0.005502908104134008,3.653011425107457,0.004741239582079393,6.1371111792083965,0.06959389743257227,4.061330467892518,0.0010316797342675432,4.530624169116933,0.02094289745964506,5.547780540909272,-0.06934555812704035,4.245061018708155,0.006713998766731066,3.862581765743484,0.016376661095109046,5.296047881862238,0.01594056592965032,4.050023313771427,0.016564223329877947,4.621266463414633,0.018268825421706048
10,2021-07-01,5.010533136918324,0.016055814799734947,4.1323345179518896,0.016930443871554512,3.642047627363238,-0.003001303984122239,5.885930273437584,-0.04092819869742226,4.1338987751382605,0.017868111895705585,4.565660453945862,0.007733213685600759,6.120116759959189,0.10316489897708037,4.321681583607418,0.018049343592846823,3.8242361261982976,-0.009927463512945378,5.428861256808134,0.025077827449550005,4.173129023762313,0.03039629662680854,4.529270014144271,-0.019907194272105744
11,2021-08-01,5.160958124048913,0.030021752779606725,4.154390030219221,0.005337300785189791,3.877536345847756,0.06465833030717572,6.410003417106207,0.08903828610299636,4.1546649356038365,0.005023383879273036,4.77809740981581,0.04652929362855951,5.786139443246102,-0.05457041586169242,4.346945733383343,0.005845907267151285,4.0246972042941165,0.052418593277371306,5.545148484007402,0.021420187714953354,4.175669140004628,0.0006086838503798209,4.653985467270483,0.02753544229792948
