,date,PR_gas_avg_price,PR_gas_pct_variation,PR_diesel_avg_price,PR_diesel_pct_variation,PR_ethanol_avg_price,PR_ethanol_pct_variation,SC_gas_avg_price,SC_gas_pct_variation,SC_diesel_avg_price,SC_diesel_pct_variation,SC_ethanol_avg_price,SC_ethanol_pct_variation,RS_gas_avg_price,RS_gas_pct_variation,RS_diesel_avg_price,RS_diesel_pct_variation,RS_ethanol_avg_price,RS_ethanol_pct_variation
1,2020-10-01,3.857937905910916,0.023520973426703895,2.910299911642938,0.008830238742777219,2.46613380806252,0.05539608406795127,3.8025776704683913,0.023562110168620087,2.9867142418617507,0.0032720055326653785,2.9619956970987857,0.05702874619837539,4.075164040370806,0.02421016296205325,2.988610435843957,0.000990325199725417,3.372010139748595,0.038501916625010235
2,2020-11-01,3.847650633924365,-0.00266652088173569,3.010700771984411,0.03449845836843468,2.5866479811398597,0.04886765376774904,3.784885598841196,-0.004652652269168889,3.0824335234834037,0.03204835610988588,3.14935748359809,0.06325525276178534,4.066669589054507,-0.002084444020448939,3.108816924729866,0.04022153153325392,3.536569064059885,0.048801432229251596
3,2020-12-01,3.936663929043402,0.023134453615464956,3.12760601198854,0.03882990999702529,2.6206553893341504,0.013147288862748407,4.543153027521959,0.20034091094138207,3.178110942689627,0.031039572622510336,3.1297252748847693,-0.006233718723760551,4.115583976740479,0.012028119475854693,3.1553752964479207,0.014976234640159847,3.551785079380469,0.004302479336602216
4,2021-01-01,4.057214813288974,0.03062259985064708,3.185798467734484,0.0186060697936008,2.6525098397199605,0.012155146577247367,3.994271594439048,-0.12081508805841301,3.2654367069952164,0.027477254847398713,3.165020857362334,0.011277533769753711,4.296747341874472,0.044018872208136495,3.2711126744080774,0.03667943337530888,3.588682985475309,0.010388552592623501
5,2021-02-01,4.361699891519876,0.07504780797743171,3.4416799194673198,0.08031940950577465,2.8067156285723875,0.05813580275679864,4.988036643387706,0.24879756557671473,3.5054857854804307,0.073512090426062,3.3611456592191087,0.06196635368154291,4.627908184299966,0.07707244947780056,3.5046859611479206,0.07140484293532001,3.7454127327666,0.04367333306553767
6,2021-03-01,4.89091554049088,0.12133243050488596,3.688293162525534,0.071654903660066,3.333428421715611,0.18766161693806205,4.781890877269095,-0.04132803763418291,3.73997762217473,0.06689282200645463,3.8927162828468433,0.15815161778833287,5.155484535045518,0.11399888021446447,3.74026856211418,0.06721931824359428,4.38919780327648,0.1718862823522096
7,2021-04-01,4.839845324765074,-0.010441851899303245,3.634432351595748,-0.014603180538096172,3.1183826204028167,-0.06451190009417296,4.703447055422545,-0.016404352140161893,3.693581068402632,-0.01240556988817465,3.692491595065973,-0.05143572591281709,5.213784006578724,0.0113082429278768,3.6942420568034624,-0.012305668576028994,4.180592084652441,-0.04752707168228265
8,2021-05-01,5.010376971267833,0.03523493728821525,3.939985313601278,0.08407171531790181,3.526647710775946,0.13092206443877363,4.896918876826515,0.041134048948402224,4.004615090220174,0.08420933940731268,4.178398849861871,0.13159332723876283,5.337619362297273,0.023751531625072042,3.99440805854964,0.08125239145967167,4.651110708432316,0.11254832192483377
9,2021-06-01,5.082979557079582,0.014490443778600204,3.92631516075966,-0.0034695948724546843,3.5856844112691486,0.016740175184726036,4.9547070465369085,0.011800924451467187,3.99732149545685,-0.0018212973279593259,4.255039948540746,0.018342217062741417,5.407778458863493,0.013144267472835258,4.021443806110863,0.006768399013054038,4.75892226956424,0.02317974520289634
10,2021-07-01,5.147296459055486,0.012653385923286464,3.9986367823328814,0.01841971889980143,3.582282637366366,-0.0009487097894314012,5.006512869548738,0.010455880140893381,4.073763212855954,0.019123234767577157,4.2562969819906105,0.00029542224398970696,5.501990794725859,0.0174216337779054,4.106641028280332,0.021185729871447068,4.754933257895224,-0.0008382174456869063
11,2021-08-01,5.289310903889389,0.027590104040745578,4.027698996161007,0.00726803043390456,3.768913593853637,0.05209833376644979,5.213510834224596,0.04134573705680222,4.117958511786158,0.010848764795836185,4.434635783299728,0.04189999007675249,5.660700793665637,0.028845922296328652,4.114992231913487,0.002033585009170391,4.959314989582628,0.04298309158136826
12,2021-09-01,5.419972960998714,0.024703039674458527,4.139648853475817,0.027794990991510282,3.9570660359119754,0.049922195713156814,5.332523673440072,0.022827772493384746,4.2241189442068805,0.025779869349551898,4.687015602175743,0.05691105903813898,5.774905961253064,0.020175093464615435,4.2217494166009,0.025943471742052582,5.190836363432027,0.046684143744796236
13,2021-10-01,5.653457487005877,0.0430785407394616,4.450019144507675,0.0749750285634152,4.1231875175267945,0.041980972798330685,5.540734267248634,0.039045413871410695,4.534556225946199,0.07349160519380349,4.943609042771091,0.054745591304675045,6.02052148250639,0.042531518764338694,4.530864448341105,0.07321965404310649,5.43236818331362,0.046530424573411056
14,2021-11-01,6.02576514959828,0.06585486199341362,4.721806732559365,0.06107559972795551,4.523475367110516,0.09708213557646417,5.884410071186014,0.06202712264489074,4.781252302966152,0.054403576607648496,5.398428928217489,0.09200158861904106,6.407032905551109,0.0641989940851122,4.820536779794258,0.06393312683614094,5.888329358247854,0.08393414428992352
15,2021-12-01,5.868628258243575,-0.026077500110534668,4.661737586214197,-0.012721644435584323,4.184692717484712,-0.07489432839383625,5.743879767587719,-0.023881799857291552,4.760550200049634,-0.004329849504841055,5.070418315703394,-0.06076038359967828,6.254275373476494,-0.023842164435001534,4.756874370189099,-0.013206498054740834,5.5335035274672855,-0.06025916846576518
